User,QuestionId,Value
2179,101,193
2179,81,3
2179,78,166
2179,79,173
2179,82,175
2179,98,<p>Name:</p><p>Region: </p>
2179,15,55
2179,10,43
2179,11,45
2179,12,49
2179,84,2021
2179,85,06
2179,86,ALPES-MARITIMES
2179,87,06000
2179,89,6
2179,90,MEDITERRANEE
2179,4,19
2179,5,6
2179,6, Yvutvut
2179,29,69
2179,32,88
2179,33,80
2179,34,81
2179,35,81
2179,36,44974
2179,26,Hh
2179,26,(Gh hg
2179,8,39
2179,8,39
2179,8,39
2179,8,39
2179,8,39
2179,8,39
2179,8,39
2179,8,39
2179,8,39
2179,8,39
2179,8,39
